Crop,Soil_Type,N_Level,P_Level,K_Level,pH,Fertilizer_Name,N_Amount,P_Amount,K_Amount,Tips
Maize,Sandy,Medium,High,Low,6.5,DAP,0,70,0,"Apply DAP in furrows at sowing time. Band placement 5cm below seeds."
Maize,Sandy,High,Low,Medium,6.8,MOP,0,0,50,"Apply potash at tasseling stage. Use foliar spray if deficiency appears."
Maize,Loamy,Low,High,Medium,6.5,NPK,50,50,50,"Apply as basal dressing. Side-dress at knee-high stage. Use zinc and iron micronutrients."
Maize,Loamy,Medium,Medium,Medium,6.8,Complex,40,40,40,"Balanced application at planting. Top dress with nitrogen at V6 stage."
Maize,Clayey,Low,Medium,High,7.0,Urea,55,0,0,"Split application: 40% at planting, 60% at V8 stage. Avoid surface runoff."
Maize,Clayey,Medium,Low,Medium,7.2,DAP,0,65,0,"Deep placement for phosphorus. Apply in bands below seed depth."
Cotton,Black,Low,High,Medium,7.5,Urea,45,0,0,"Apply urea in split doses at flowering and boll formation. Use neem-coated urea."
Cotton,Black,Medium,Medium,Medium,7.8,Complex,50,50,50,"Use complex fertilizer at sowing time. Top dress at first flower appearance."
Cotton,Black,High,Low,High,7.2,MOP,0,0,45,"Apply potash at boll development stage. Use magnesium sulphate if deficiency occurs."
Cotton,Loamy,Low,Medium,High,7.0,NPK,40,40,40,"Apply basal at sowing. Side-dress nitrogen at flowering. Use boron for better boll retention."
Cotton,Loamy,Medium,High,Medium,6.8,DAP,0,55,0,"Apply DAP in bands at sowing. Use zinc sulphate if needed."
Cotton,Sandy,Low,High,Medium,6.5,SSP,0,45,0,"Use single superphosphate. Apply gypsum for calcium. Frequent light irrigations."
Groundnut,Sandy,Low,Medium,High,6.2,Rhizobium,0,30,0,"Use rhizobium culture for nitrogen fixation. Inoculate seeds before planting."
Groundnut,Sandy,Medium,High,Low,6.5,SSP,0,60,0,"Apply single superphosphate at sowing. Use gypsum at pegging stage for pod filling."
Groundnut,Sandy,High,Low,Medium,6.0,MOP,0,0,35,"Apply potash at pegging stage. Use calcium ammonium nitrate if needed."
Groundnut,Loamy,Low,High,Medium,6.5,NPK,20,50,30,"Apply basal at sowing. Top dress with gypsum at 30-40 DAS. Use boron for better yield."
Groundnut,Loamy,Medium,Medium,Medium,6.8,Complex,25,40,25,"Balanced application. Avoid excessive nitrogen. Use micronutrient mixture."
Groundnut,Clayey,Low,Medium,High,6.5,Urea,25,0,0,"Light application, groundnut fixes its own nitrogen. Use only as starter dose."
Groundnut,Clayey,Medium,Low,Medium,6.8,DAP,0,55,0,"Apply DAP at sowing. Use gypsum for calcium requirement."
Soybean,Clayey,Low,High,Medium,6.5,Urea,30,0,0,"Light application, soybean fixes its own nitrogen. Use starter dose only."
Soybean,Clayey,Medium,Medium,Medium,6.8,DAP,0,50,0,"Apply DAP for phosphorus requirement. Inoculate seeds with Bradyrhizobium."
Soybean,Clayey,High,Low,High,6.2,MOP,0,0,40,"Apply potash at flowering stage. Use molybdenum for nitrogen fixation."
Soybean,Loamy,Low,Medium,High,6.5,NPK,20,40,30,"Apply basal at sowing. Top dress with nitrogen at flowering if needed."
Soybean,Loamy,Medium,High,Medium,6.8,SSP,0,55,0,"Use single superphosphate. Apply zinc sulphate if deficiency appears."
Soybean,Sandy,Low,High,Medium,6.0,Complex,15,40,25,"Apply as basal. Use organic manure for moisture retention."
Potato,Loamy,High,Medium,High,6.0,NPK,80,40,80,"High potash requirement for tuber formation. Split nitrogen application."
Potato,Loamy,Medium,High,Low,6.2,MOP,0,0,100,"Potash application at planting and earthing up. Use magnesium sulphate."
Potato,Loamy,Low,Medium,High,5.8,Urea,70,0,0,"Apply in splits at planting and earthing. Use slow-release nitrogen."
Potato,Sandy,High,Medium,High,6.0,Complex,60,40,60,"Apply as basal. Use controlled-release fertilizers. Frequent light irrigation."
Potato,Sandy,Medium,High,Low,6.2,SSP,0,70,0,"Apply superphosphate at planting. Use zinc and boron micronutrients."
Potato,Clayey,Low,Medium,High,6.5,Urea,65,0,0,"Split application. Avoid waterlogging. Use potassium humate for better uptake."
Tomato,Loamy,Medium,High,Medium,6.5,Complex,50,50,50,"Apply at transplanting and first flowering. Use calcium nitrate to prevent blossom end rot."
Tomato,Loamy,High,Medium,High,6.2,NPK,70,40,60,"Apply basal at transplanting. Top dress at fruit set. Use boron for fruit quality."
Tomato,Loamy,Low,High,Medium,6.8,Urea,40,0,0,"Apply in splits. Use slow-release formulas. Avoid late nitrogen application."
Tomato,Sandy,Medium,High,Medium,6.5,DAP,0,60,0,"Apply DAP at transplanting. Use water-soluble fertilizers for drip irrigation."
Tomato,Sandy,High,Low,High,6.0,MOP,0,0,50,"Apply potash at fruit development stage. Use magnesium sulphate."
Onion,Clayey,High,Medium,High,6.8,Urea,60,0,0,"Apply in splits at 15 and 45 days after transplanting. Use sulfur-coated urea."
Onion,Clayey,Medium,High,Medium,7.0,DAP,0,55,0,"Apply DAP at transplanting. Use zinc sulphate for better bulb formation."
Onion,Clayey,Low,Medium,High,6.5,NPK,40,30,40,"Apply as basal. Top dress with nitrogen at bulb initiation."
Onion,Loamy,High,Medium,High,6.5,Complex,50,40,50,"Apply at transplanting. Use controlled-release fertilizers. Avoid late nitrogen."
Onion,Loamy,Medium,High,Medium,6.8,SSP,0,60,0,"Apply superphosphate at planting. Use gypsum for sulfur requirement."
Chickpea,Loamy,Low,High,Medium,7.0,Rhizobium,0,40,0,"Inoculate with rhizobium. Apply phosphorus at sowing. Use starter nitrogen only."
Chickpea,Loamy,Medium,Medium,Medium,7.2,SSP,0,50,0,"Apply single superphosphate. Use gypsum in sodic soils."
Chickpea,Clayey,Low,Medium,High,7.5,Urea,20,0,0,"Light starter dose. Legume fixes its own nitrogen. Use sulfur if deficiency."
Pigeonpea,Loamy,Low,High,Medium,6.8,DAP,0,50,0,"Apply DAP at sowing. Use rhizobium inoculation. Add zinc if deficiency."
Pigeonpea,Loamy,Medium,Medium,Medium,7.0,NPK,20,40,20,"Balanced application at sowing. Top dress at flowering if needed."
Sugarcane,Loamy,High,Medium,High,7.2,NPK,120,60,60,"High nitrogen requirement. Apply in multiple splits. Use organic manure."
Sugarcane,Loamy,Medium,High,Medium,7.0,Urea,100,0,0,"Apply at planting, tillering, and grand growth stages. Use neem-coated urea."
Sugarcane,Clayey,High,Medium,High,7.5,Complex,90,50,50,"Apply as basal. Top dress with nitrogen. Use potassium at maturity stage."
Sunflower,Loamy,Medium,High,Medium,6.8,DAP,0,60,0,"Apply DAP at sowing. Use boron for seed filling. Avoid excessive nitrogen."
Sunflower,Loamy,Low,High,Medium,7.0,NPK,40,50,40,"Apply at sowing. Top dress at flowering. Use zinc for better yield."
Mustard,Loamy,Medium,High,Medium,6.5,SSP,0,50,0,"Apply superphosphate at sowing. Use boron for pod formation. Avoid late nitrogen."
Mustard,Loamy,Low,Medium,High,6.8,Urea,40,0,0,"Apply at sowing and branching stage. Use sulfur-coated urea."
Cabbage,Loamy,High,Medium,High,6.5,NPK,80,40,60,"Apply at transplanting and head formation. Use boron for quality heads."
Cabbage,Loamy,Medium,High,Medium,6.8,Urea,60,0,0,"Split application. Use calcium nitrate for head firmness."
Cauliflower,Loamy,High,Medium,High,6.5,Complex,70,40,60,"Apply at transplanting. Use boron and molybdenum for quality curds."
Cauliflower,Loamy,Medium,High,Medium,6.8,Urea,55,0,0,"Split application. Avoid nitrogen deficiency during curd formation."
Brinjal,Loamy,Medium,High,Medium,6.5,NPK,60,40,50,"Apply at transplanting. Top dress at flowering and fruiting. Use calcium for fruit quality."
Brinjal,Loamy,High,Medium,High,6.2,Complex,70,50,60,"Balanced application. Use magnesium sulphate if deficiency appears."
Chilli,Loamy,Medium,High,Medium,6.5,NPK,60,40,50,"Apply at transplanting. Top dress at flowering. Use boron for fruit set."
Chilli,Loamy,High,Medium,High,6.0,Complex,70,50,60,"Apply in splits. Use calcium nitrate to prevent blossom end rot."
Okra,Loamy,Medium,High,Medium,6.5,NPK,50,40,40,"Apply at sowing. Top dress at flowering. Use boron for better pod setting."
Okra,Loamy,High,Medium,High,6.0,Complex,60,50,50,"Balanced application. Use organic manure for better yield."
Apple,Loamy,Medium,High,Medium,6.5,NPK,100,60,100,"Apply in spring before flowering. Split application. Use boron for fruit set."
Apple,Loamy,High,Medium,High,6.2,Complex,120,70,120,"High potash requirement for fruit quality. Use calcium for storage life."
Mango,Loamy,Medium,High,Medium,6.5,NPK,80,50,80,"Apply after fruit harvest. Use zinc for flowering. Potassium for fruit quality."
Mango,Loamy,High,Medium,High,6.0,Complex,100,60,100,"Apply in two splits. Use boron to prevent fruit cracking."
Banana,Loamy,High,Medium,High,6.5,NPK,150,60,200,"High potash requirement. Split application throughout growth. Use magnesium."
Banana,Loamy,Medium,High,Medium,6.8,Complex,120,50,150,"Apply at planting and flowering. Use zinc for better bunch formation."
Grapes,Loamy,Medium,High,Medium,6.5,NPK,80,50,80,"Apply at pruning. Split nitrogen. Use boron for fruit set."
Grapes,Loamy,High,Medium,High,6.2,Complex,100,60,100,"Balanced application. Use magnesium and zinc for quality."
Orange,Loamy,Medium,High,Medium,6.5,NPK,100,50,100,"Apply in spring and summer. Use zinc for fruit size. Magnesium for leaf health."
Orange,Loamy,High,Medium,High,6.0,Complex,120,60,120,"Split application. Use boron for fruit quality."
Coffee,Loamy,Medium,High,Medium,6.0,NPK,120,60,120,"Apply after harvest. Split nitrogen. Use potassium for bean quality."
Coffee,Loamy,High,Medium,High,5.8,Complex,150,80,150,"High nitrogen requirement. Use magnesium and zinc."
Tea,Loamy,Medium,High,Medium,4.5,NPK,200,80,150,"Apply after pruning. Split nitrogen. Use potassium for quality."
Tea,Loamy,High,Medium,High,4.5,Complex,250,100,180,"High nitrogen requirement. Use magnesium to prevent yellowing."
Rubber,Loamy,Medium,High,Medium,4.5,NPK,120,60,120,"Apply during rainy season. Use potassium for latex yield."
Rubber,Loamy,High,Medium,High,4.5,Complex,150,80,150,"Split application. Use magnesium for leaf health."
Coconut,Loamy,Medium,High,Medium,6.5,NPK,120,60,150,"Apply in two splits. High potash for nut yield. Use boron for fruit set."
Coconut,Loamy,High,Medium,High,6.0,Complex,150,80,180,"Apply during monsoon. Use magnesium for leaf health."
Arecanut,Loamy,Medium,High,Medium,6.0,NPK,100,50,100,"Apply in splits. Use potassium for nut quality. Boron for fruit set."
Arecanut,Loamy,High,Medium,High,5.8,Complex,120,60,120,"High potash requirement. Use organic manure."
Cashew,Loamy,Medium,High,Medium,6.0,NPK,80,40,80,"Apply after harvest. Use boron for nut set. Zinc for flowering."
Cashew,Loamy,High,Medium,High,5.8,Complex,100,50,100,"Split application. Use magnesium for leaf health."
Turmeric,Loamy,Medium,High,Medium,6.5,NPK,80,40,80,"Apply at planting. Top dress at 60 days. Use organic manure."
Turmeric,Loamy,High,Medium,High,6.0,Complex,100,50,100,"High potash for rhizome yield. Use magnesium and boron."
Ginger,Loamy,Medium,High,Medium,6.0,NPK,80,40,80,"Apply at planting. Split nitrogen. Use organic manure."
Ginger,Loamy,High,Medium,High,5.8,Complex,100,50,100,"High potash for rhizome quality. Use magnesium and zinc."
